📝 Logging started: resnet152_pdt_20260218_172316.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 260
>>> Pruning starts at Epoch 60, every 10 epochs.
Epoch 1/260 | Loss: 4.4464 | Val Acc: 6.42% | Peak VRAM: 3895.78 MB
Epoch 2/260 | Loss: 3.7252 | Val Acc: 16.92% | Peak VRAM: 3893.78 MB
Epoch 3/260 | Loss: 3.1486 | Val Acc: 27.82% | Peak VRAM: 3893.78 MB
Epoch 4/260 | Loss: 2.5951 | Val Acc: 34.43% | Peak VRAM: 3893.78 MB
Epoch 5/260 | Loss: 2.2035 | Val Acc: 41.45% | Peak VRAM: 3893.78 MB
Epoch 6/260 | Loss: 1.9357 | Val Acc: 46.12% | Peak VRAM: 3893.78 MB
Epoch 7/260 | Loss: 1.7413 | Val Acc: 45.45% | Peak VRAM: 3893.78 MB
Epoch 8/260 | Loss: 1.5871 | Val Acc: 49.66% | Peak VRAM: 3893.78 MB
Epoch 9/260 | Loss: 1.4634 | Val Acc: 54.16% | Peak VRAM: 3893.78 MB
Epoch 10/260 | Loss: 1.3627 | Val Acc: 55.54% | Peak VRAM: 3893.78 MB
Epoch 11/260 | Loss: 1.2827 | Val Acc: 56.83% | Peak VRAM: 3893.78 MB
Epoch 12/260 | Loss: 1.2106 | Val Acc: 58.24% | Peak VRAM: 3893.78 MB
Epoch 13/260 | Loss: 1.1549 | Val Acc: 58.62% | Peak VRAM: 3893.78 MB
Epoch 14/260 | Loss: 1.1009 | Val Acc: 59.87% | Peak VRAM: 3893.78 MB
Epoch 15/260 | Loss: 1.0550 | Val Acc: 60.32% | Peak VRAM: 3893.78 MB
Epoch 16/260 | Loss: 1.0095 | Val Acc: 61.39% | Peak VRAM: 3893.78 MB
Epoch 17/260 | Loss: 0.9646 | Val Acc: 63.54% | Peak VRAM: 3893.78 MB
Epoch 18/260 | Loss: 0.9323 | Val Acc: 61.95% | Peak VRAM: 3893.78 MB
Epoch 19/260 | Loss: 0.9005 | Val Acc: 63.25% | Peak VRAM: 3893.78 MB
Epoch 20/260 | Loss: 0.8771 | Val Acc: 64.31% | Peak VRAM: 3893.78 MB
Epoch 21/260 | Loss: 0.8402 | Val Acc: 64.15% | Peak VRAM: 3893.78 MB
Epoch 22/260 | Loss: 0.8173 | Val Acc: 65.31% | Peak VRAM: 3893.78 MB
Epoch 23/260 | Loss: 0.7962 | Val Acc: 64.55% | Peak VRAM: 3893.78 MB
Epoch 24/260 | Loss: 0.7692 | Val Acc: 63.81% | Peak VRAM: 3893.78 MB
Epoch 25/260 | Loss: 0.7510 | Val Acc: 64.92% | Peak VRAM: 3893.78 MB
Epoch 26/260 | Loss: 0.7303 | Val Acc: 65.81% | Peak VRAM: 3893.78 MB
Epoch 27/260 | Loss: 0.7108 | Val Acc: 65.19% | Peak VRAM: 3893.78 MB
Epoch 28/260 | Loss: 0.7068 | Val Acc: 66.14% | Peak VRAM: 3893.78 MB
Epoch 29/260 | Loss: 0.6893 | Val Acc: 64.61% | Peak VRAM: 3893.78 MB
Epoch 30/260 | Loss: 0.6825 | Val Acc: 66.40% | Peak VRAM: 3893.78 MB
Epoch 31/260 | Loss: 0.6710 | Val Acc: 64.35% | Peak VRAM: 3893.78 MB
Epoch 32/260 | Loss: 0.6617 | Val Acc: 65.99% | Peak VRAM: 3893.78 MB
Epoch 33/260 | Loss: 0.6505 | Val Acc: 66.11% | Peak VRAM: 3893.78 MB
Epoch 34/260 | Loss: 0.6479 | Val Acc: 65.26% | Peak VRAM: 3893.78 MB
Epoch 35/260 | Loss: 0.6366 | Val Acc: 65.21% | Peak VRAM: 3893.78 MB
Epoch 36/260 | Loss: 0.6283 | Val Acc: 63.57% | Peak VRAM: 3893.78 MB
Epoch 37/260 | Loss: 0.6204 | Val Acc: 66.09% | Peak VRAM: 3893.78 MB
Epoch 38/260 | Loss: 0.6196 | Val Acc: 66.08% | Peak VRAM: 3893.78 MB
Epoch 39/260 | Loss: 0.6122 | Val Acc: 64.31% | Peak VRAM: 3893.78 MB
Epoch 40/260 | Loss: 0.6032 | Val Acc: 65.73% | Peak VRAM: 3893.78 MB
Epoch 41/260 | Loss: 0.6027 | Val Acc: 65.20% | Peak VRAM: 3893.78 MB
Epoch 42/260 | Loss: 0.5968 | Val Acc: 65.34% | Peak VRAM: 3893.78 MB
Epoch 43/260 | Loss: 0.5861 | Val Acc: 66.95% | Peak VRAM: 3893.78 MB
Epoch 44/260 | Loss: 0.5830 | Val Acc: 66.74% | Peak VRAM: 3893.78 MB
Epoch 45/260 | Loss: 0.5809 | Val Acc: 66.22% | Peak VRAM: 3893.78 MB
Epoch 46/260 | Loss: 0.5762 | Val Acc: 66.72% | Peak VRAM: 3893.78 MB
