📝 Logging started: resnet152_pdt_20260218_130350.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 40, every 10 epochs.
Epoch 1/300 | Loss: 4.4237 | Val Acc: 7.68% | Peak VRAM: 3895.78 MB
Epoch 2/300 | Loss: 3.6904 | Val Acc: 17.46% | Peak VRAM: 3893.78 MB
Epoch 3/300 | Loss: 3.1375 | Val Acc: 24.89% | Peak VRAM: 3893.78 MB
Epoch 4/300 | Loss: 2.6324 | Val Acc: 36.93% | Peak VRAM: 3893.78 MB
Epoch 5/300 | Loss: 2.1948 | Val Acc: 42.49% | Peak VRAM: 3893.78 MB
Epoch 6/300 | Loss: 1.9126 | Val Acc: 47.01% | Peak VRAM: 3893.78 MB
Epoch 7/300 | Loss: 1.7073 | Val Acc: 51.57% | Peak VRAM: 3893.78 MB
Epoch 8/300 | Loss: 1.5506 | Val Acc: 53.96% | Peak VRAM: 3893.78 MB
Epoch 9/300 | Loss: 1.4422 | Val Acc: 54.98% | Peak VRAM: 3893.78 MB
Epoch 10/300 | Loss: 1.3325 | Val Acc: 55.98% | Peak VRAM: 3893.78 MB
Epoch 11/300 | Loss: 1.2640 | Val Acc: 57.91% | Peak VRAM: 3893.78 MB
Epoch 12/300 | Loss: 1.1923 | Val Acc: 59.12% | Peak VRAM: 3893.78 MB
Epoch 13/300 | Loss: 1.1331 | Val Acc: 62.01% | Peak VRAM: 3893.78 MB
Epoch 14/300 | Loss: 1.0815 | Val Acc: 60.68% | Peak VRAM: 3893.78 MB
Epoch 15/300 | Loss: 1.0344 | Val Acc: 62.31% | Peak VRAM: 3893.78 MB
Epoch 16/300 | Loss: 0.9901 | Val Acc: 62.55% | Peak VRAM: 3893.78 MB
Epoch 17/300 | Loss: 0.9575 | Val Acc: 63.83% | Peak VRAM: 3893.78 MB
Epoch 18/300 | Loss: 0.9157 | Val Acc: 64.46% | Peak VRAM: 3893.78 MB
Epoch 19/300 | Loss: 0.8880 | Val Acc: 63.60% | Peak VRAM: 3893.78 MB
Epoch 20/300 | Loss: 0.8641 | Val Acc: 64.58% | Peak VRAM: 3893.78 MB
Epoch 21/300 | Loss: 0.8277 | Val Acc: 63.35% | Peak VRAM: 3893.78 MB
Epoch 22/300 | Loss: 0.8090 | Val Acc: 65.46% | Peak VRAM: 3893.78 MB
Epoch 23/300 | Loss: 0.7809 | Val Acc: 64.96% | Peak VRAM: 3893.78 MB
Epoch 24/300 | Loss: 0.7608 | Val Acc: 66.15% | Peak VRAM: 3893.78 MB
Epoch 25/300 | Loss: 0.7487 | Val Acc: 65.01% | Peak VRAM: 3893.78 MB
Epoch 26/300 | Loss: 0.7296 | Val Acc: 66.69% | Peak VRAM: 3893.78 MB
Epoch 27/300 | Loss: 0.7111 | Val Acc: 66.38% | Peak VRAM: 3893.78 MB
Epoch 28/300 | Loss: 0.6996 | Val Acc: 63.46% | Peak VRAM: 3893.78 MB
Epoch 29/300 | Loss: 0.6951 | Val Acc: 66.09% | Peak VRAM: 3893.78 MB
Epoch 30/300 | Loss: 0.6821 | Val Acc: 65.28% | Peak VRAM: 3893.78 MB
Epoch 31/300 | Loss: 0.6627 | Val Acc: 66.37% | Peak VRAM: 3893.78 MB
Epoch 32/300 | Loss: 0.6585 | Val Acc: 64.72% | Peak VRAM: 3893.78 MB
Epoch 33/300 | Loss: 0.6487 | Val Acc: 65.68% | Peak VRAM: 3893.78 MB
Epoch 34/300 | Loss: 0.6466 | Val Acc: 65.74% | Peak VRAM: 3893.78 MB
Epoch 35/300 | Loss: 0.6423 | Val Acc: 65.68% | Peak VRAM: 3893.78 MB
Epoch 36/300 | Loss: 0.6330 | Val Acc: 65.99% | Peak VRAM: 3893.78 MB
Epoch 37/300 | Loss: 0.6251 | Val Acc: 66.22% | Peak VRAM: 3893.78 MB
Epoch 38/300 | Loss: 0.6185 | Val Acc: 66.58% | Peak VRAM: 3893.78 MB
Epoch 39/300 | Loss: 0.6105 | Val Acc: 64.73% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/300

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 58076 units | VRAM: 4139.3MB -> 4139.3MB
 Group  1 |  255/ 256 |     0.4% | Hessian: 0.131642
 Group  2 |  255/ 256 |     0.4% | Hessian: 0.131642
 Group  3 |  255/ 256 |     0.4% | Hessian: 0.131642
 Group  4 |  511/ 512 |     0.2% | Hessian: 0.115292
 Group  5 |  511/ 512 |     0.2% | Hessian: 0.115292
 Group  6 |  511/ 512 |     0.2% | Hessian: 0.115292
 Group  7 |  511/ 512 |     0.2% | Hessian: 0.115292
