📝 Logging started: resnet152_pdt_20260218_172048.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 200
>>> Pruning starts at Epoch 40, every 10 epochs.
Epoch 1/200 | Loss: 4.3913 | Val Acc: 7.91% | Peak VRAM: 3895.78 MB
Epoch 2/200 | Loss: 3.7622 | Val Acc: 15.16% | Peak VRAM: 3893.78 MB
Epoch 3/200 | Loss: 3.2781 | Val Acc: 22.82% | Peak VRAM: 3893.78 MB
Epoch 4/200 | Loss: 2.8281 | Val Acc: 31.70% | Peak VRAM: 3893.78 MB
Epoch 5/200 | Loss: 2.4175 | Val Acc: 38.05% | Peak VRAM: 3893.78 MB
Epoch 6/200 | Loss: 2.1227 | Val Acc: 44.05% | Peak VRAM: 3893.78 MB
Epoch 7/200 | Loss: 1.8958 | Val Acc: 46.46% | Peak VRAM: 3893.78 MB
Epoch 8/200 | Loss: 1.7253 | Val Acc: 52.06% | Peak VRAM: 3893.78 MB
Epoch 9/200 | Loss: 1.5857 | Val Acc: 50.69% | Peak VRAM: 3893.78 MB
Epoch 10/200 | Loss: 1.4678 | Val Acc: 55.43% | Peak VRAM: 3893.78 MB
Epoch 11/200 | Loss: 1.3646 | Val Acc: 55.26% | Peak VRAM: 3893.78 MB
Epoch 12/200 | Loss: 1.2845 | Val Acc: 57.73% | Peak VRAM: 3893.78 MB
Epoch 13/200 | Loss: 1.2192 | Val Acc: 59.85% | Peak VRAM: 3893.78 MB
Epoch 14/200 | Loss: 1.1540 | Val Acc: 58.05% | Peak VRAM: 3893.78 MB
Epoch 15/200 | Loss: 1.0966 | Val Acc: 61.01% | Peak VRAM: 3893.78 MB
Epoch 16/200 | Loss: 1.0535 | Val Acc: 61.06% | Peak VRAM: 3893.78 MB
Epoch 17/200 | Loss: 1.0093 | Val Acc: 62.27% | Peak VRAM: 3893.78 MB
Epoch 18/200 | Loss: 0.9671 | Val Acc: 62.45% | Peak VRAM: 3893.78 MB
Epoch 19/200 | Loss: 0.9323 | Val Acc: 62.66% | Peak VRAM: 3893.78 MB
Epoch 20/200 | Loss: 0.8946 | Val Acc: 62.46% | Peak VRAM: 3893.78 MB
Epoch 21/200 | Loss: 0.8638 | Val Acc: 64.70% | Peak VRAM: 3893.78 MB
Epoch 22/200 | Loss: 0.8331 | Val Acc: 65.80% | Peak VRAM: 3893.78 MB
Epoch 23/200 | Loss: 0.8125 | Val Acc: 64.12% | Peak VRAM: 3893.78 MB
Epoch 24/200 | Loss: 0.7905 | Val Acc: 65.08% | Peak VRAM: 3893.78 MB
Epoch 25/200 | Loss: 0.7602 | Val Acc: 64.77% | Peak VRAM: 3893.78 MB
Epoch 26/200 | Loss: 0.7382 | Val Acc: 65.86% | Peak VRAM: 3893.78 MB
Epoch 27/200 | Loss: 0.7239 | Val Acc: 64.86% | Peak VRAM: 3893.78 MB
Epoch 28/200 | Loss: 0.7091 | Val Acc: 65.27% | Peak VRAM: 3893.78 MB
Epoch 29/200 | Loss: 0.7019 | Val Acc: 63.97% | Peak VRAM: 3893.78 MB
Epoch 30/200 | Loss: 0.6929 | Val Acc: 64.77% | Peak VRAM: 3893.78 MB
Epoch 31/200 | Loss: 0.6749 | Val Acc: 64.71% | Peak VRAM: 3893.78 MB
Epoch 32/200 | Loss: 0.6639 | Val Acc: 65.27% | Peak VRAM: 3893.78 MB
Epoch 33/200 | Loss: 0.6552 | Val Acc: 64.27% | Peak VRAM: 3893.78 MB
Epoch 34/200 | Loss: 0.6538 | Val Acc: 65.91% | Peak VRAM: 3893.78 MB
Epoch 35/200 | Loss: 0.6401 | Val Acc: 64.64% | Peak VRAM: 3893.78 MB
Epoch 36/200 | Loss: 0.6313 | Val Acc: 64.53% | Peak VRAM: 3893.78 MB
Epoch 37/200 | Loss: 0.6305 | Val Acc: 65.66% | Peak VRAM: 3893.78 MB
Epoch 38/200 | Loss: 0.6259 | Val Acc: 65.91% | Peak VRAM: 3893.78 MB
Epoch 39/200 | Loss: 0.6144 | Val Acc: 66.08% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/200

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 141322 units | VRAM: 4139.3MB -> 4139.3MB
 Group  1 |  256/ 256 |     0.0% | Hessian: 0.148234
 Group  2 |  256/ 256 |     0.0% | Hessian: 0.148234
 Group  3 |  256/ 256 |     0.0% | Hessian: 0.148234
 Group  4 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group  5 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group  6 |  512/ 512 |     0.0% | Hessian: 0.029988
 Group  7 |  512/ 512 |     0.0% | Hessian: 0.029988
