📝 Logging started: resnet152_pdt_20260219_021930.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 250
>>> Pruning starts at Epoch 40, every 15 epochs.
Epoch 1/250 | Loss: 4.4066 | Val Acc: 7.94% | Peak VRAM: 3895.78 MB
Epoch 2/250 | Loss: 3.6669 | Val Acc: 17.77% | Peak VRAM: 3893.78 MB
Epoch 3/250 | Loss: 3.0931 | Val Acc: 26.74% | Peak VRAM: 3893.78 MB
Epoch 4/250 | Loss: 2.5542 | Val Acc: 35.32% | Peak VRAM: 3893.78 MB
Epoch 5/250 | Loss: 2.1562 | Val Acc: 43.32% | Peak VRAM: 3893.78 MB
Epoch 6/250 | Loss: 1.8757 | Val Acc: 46.30% | Peak VRAM: 3893.78 MB
Epoch 7/250 | Loss: 1.6782 | Val Acc: 51.47% | Peak VRAM: 3893.78 MB
Epoch 8/250 | Loss: 1.5285 | Val Acc: 55.13% | Peak VRAM: 3893.78 MB
Epoch 9/250 | Loss: 1.4102 | Val Acc: 53.22% | Peak VRAM: 3893.78 MB
Epoch 10/250 | Loss: 1.3146 | Val Acc: 57.66% | Peak VRAM: 3893.78 MB
Epoch 11/250 | Loss: 1.2414 | Val Acc: 57.51% | Peak VRAM: 3893.78 MB
Epoch 12/250 | Loss: 1.1709 | Val Acc: 61.61% | Peak VRAM: 3893.78 MB
Epoch 13/250 | Loss: 1.1103 | Val Acc: 60.86% | Peak VRAM: 3893.78 MB
Epoch 14/250 | Loss: 1.0590 | Val Acc: 61.85% | Peak VRAM: 3893.78 MB
Epoch 15/250 | Loss: 1.0164 | Val Acc: 61.64% | Peak VRAM: 3893.78 MB
Epoch 16/250 | Loss: 0.9865 | Val Acc: 62.07% | Peak VRAM: 3893.78 MB
Epoch 17/250 | Loss: 0.9353 | Val Acc: 62.94% | Peak VRAM: 3893.78 MB
Epoch 18/250 | Loss: 0.9008 | Val Acc: 64.34% | Peak VRAM: 3893.78 MB
Epoch 19/250 | Loss: 0.8732 | Val Acc: 64.33% | Peak VRAM: 3893.78 MB
Epoch 20/250 | Loss: 0.8448 | Val Acc: 64.86% | Peak VRAM: 3893.78 MB
Epoch 21/250 | Loss: 0.8222 | Val Acc: 64.45% | Peak VRAM: 3893.78 MB
Epoch 22/250 | Loss: 0.7924 | Val Acc: 65.63% | Peak VRAM: 3893.78 MB
Epoch 23/250 | Loss: 0.7793 | Val Acc: 65.44% | Peak VRAM: 3893.78 MB
Epoch 24/250 | Loss: 0.7521 | Val Acc: 63.89% | Peak VRAM: 3893.78 MB
Epoch 25/250 | Loss: 0.7307 | Val Acc: 64.84% | Peak VRAM: 3893.78 MB
Epoch 26/250 | Loss: 0.7210 | Val Acc: 65.31% | Peak VRAM: 3893.78 MB
Epoch 27/250 | Loss: 0.7063 | Val Acc: 65.54% | Peak VRAM: 3893.78 MB
Epoch 28/250 | Loss: 0.6907 | Val Acc: 65.44% | Peak VRAM: 3893.78 MB
Epoch 29/250 | Loss: 0.6805 | Val Acc: 65.60% | Peak VRAM: 3893.78 MB
Epoch 30/250 | Loss: 0.6704 | Val Acc: 64.92% | Peak VRAM: 3893.78 MB
Epoch 31/250 | Loss: 0.6647 | Val Acc: 66.11% | Peak VRAM: 3893.78 MB
Epoch 32/250 | Loss: 0.6571 | Val Acc: 64.35% | Peak VRAM: 3893.78 MB
Epoch 33/250 | Loss: 0.6434 | Val Acc: 64.85% | Peak VRAM: 3893.78 MB
Epoch 34/250 | Loss: 0.6367 | Val Acc: 66.64% | Peak VRAM: 3893.78 MB
Epoch 35/250 | Loss: 0.6275 | Val Acc: 64.94% | Peak VRAM: 3893.78 MB
Epoch 36/250 | Loss: 0.6250 | Val Acc: 65.73% | Peak VRAM: 3893.78 MB
Epoch 37/250 | Loss: 0.6144 | Val Acc: 65.47% | Peak VRAM: 3893.78 MB
Epoch 38/250 | Loss: 0.6172 | Val Acc: 65.71% | Peak VRAM: 3893.78 MB
Epoch 39/250 | Loss: 0.6073 | Val Acc: 67.00% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/250

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 107609 units | VRAM: 4139.3MB -> 4139.3MB
 Group  1 |  256/ 256 |     0.0% | Hessian: 0.214064
 Group  2 |  256/ 256 |     0.0% | Hessian: 0.214064
 Group  3 |  256/ 256 |     0.0% | Hessian: 0.214064
 Group  4 |  512/ 512 |     0.0% | Hessian: 0.079208
 Group  5 |  512/ 512 |     0.0% | Hessian: 0.079208
 Group  6 |  512/ 512 |     0.0% | Hessian: 0.079208
 Group  7 |  512/ 512 |     0.0% | Hessian: 0.079208
