📝 Logging started: resnet152_pdt_20260218_130318.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 40, every 10 epochs.
Epoch 1/300 | Loss: 4.3921 | Val Acc: 8.92% | Peak VRAM: 3895.78 MB
Epoch 2/300 | Loss: 3.6439 | Val Acc: 18.52% | Peak VRAM: 3893.78 MB
Epoch 3/300 | Loss: 3.0909 | Val Acc: 27.68% | Peak VRAM: 3893.78 MB
Epoch 4/300 | Loss: 2.5643 | Val Acc: 36.69% | Peak VRAM: 3893.78 MB
Epoch 5/300 | Loss: 2.1618 | Val Acc: 39.99% | Peak VRAM: 3893.78 MB
Epoch 6/300 | Loss: 1.8906 | Val Acc: 47.07% | Peak VRAM: 3893.78 MB
Epoch 7/300 | Loss: 1.6814 | Val Acc: 52.95% | Peak VRAM: 3893.78 MB
Epoch 8/300 | Loss: 1.5375 | Val Acc: 53.77% | Peak VRAM: 3893.78 MB
Epoch 9/300 | Loss: 1.4113 | Val Acc: 54.59% | Peak VRAM: 3893.78 MB
Epoch 10/300 | Loss: 1.3243 | Val Acc: 56.39% | Peak VRAM: 3893.78 MB
Epoch 11/300 | Loss: 1.2400 | Val Acc: 57.59% | Peak VRAM: 3893.78 MB
Epoch 12/300 | Loss: 1.1823 | Val Acc: 58.53% | Peak VRAM: 3893.78 MB
Epoch 13/300 | Loss: 1.1235 | Val Acc: 60.18% | Peak VRAM: 3893.78 MB
Epoch 14/300 | Loss: 1.0675 | Val Acc: 59.52% | Peak VRAM: 3893.78 MB
Epoch 15/300 | Loss: 1.0230 | Val Acc: 60.63% | Peak VRAM: 3893.78 MB
Epoch 16/300 | Loss: 0.9903 | Val Acc: 62.19% | Peak VRAM: 3893.78 MB
Epoch 17/300 | Loss: 0.9407 | Val Acc: 61.77% | Peak VRAM: 3893.78 MB
Epoch 18/300 | Loss: 0.9089 | Val Acc: 61.85% | Peak VRAM: 3893.78 MB
Epoch 19/300 | Loss: 0.8788 | Val Acc: 63.83% | Peak VRAM: 3893.78 MB
Epoch 20/300 | Loss: 0.8536 | Val Acc: 63.78% | Peak VRAM: 3893.78 MB
Epoch 21/300 | Loss: 0.8212 | Val Acc: 64.24% | Peak VRAM: 3893.78 MB
Epoch 22/300 | Loss: 0.8032 | Val Acc: 64.77% | Peak VRAM: 3893.78 MB
Epoch 23/300 | Loss: 0.7800 | Val Acc: 66.56% | Peak VRAM: 3893.78 MB
Epoch 24/300 | Loss: 0.7575 | Val Acc: 63.50% | Peak VRAM: 3893.78 MB
Epoch 25/300 | Loss: 0.7449 | Val Acc: 63.11% | Peak VRAM: 3893.78 MB
Epoch 26/300 | Loss: 0.7285 | Val Acc: 65.94% | Peak VRAM: 3893.78 MB
Epoch 27/300 | Loss: 0.7053 | Val Acc: 65.78% | Peak VRAM: 3893.78 MB
Epoch 28/300 | Loss: 0.6974 | Val Acc: 63.42% | Peak VRAM: 3893.78 MB
Epoch 29/300 | Loss: 0.6798 | Val Acc: 63.45% | Peak VRAM: 3893.78 MB
Epoch 30/300 | Loss: 0.6717 | Val Acc: 65.97% | Peak VRAM: 3893.78 MB
Epoch 31/300 | Loss: 0.6617 | Val Acc: 63.09% | Peak VRAM: 3893.78 MB
Epoch 32/300 | Loss: 0.6610 | Val Acc: 66.78% | Peak VRAM: 3893.78 MB
Epoch 33/300 | Loss: 0.6466 | Val Acc: 63.56% | Peak VRAM: 3893.78 MB
Epoch 34/300 | Loss: 0.6420 | Val Acc: 67.41% | Peak VRAM: 3893.78 MB
Epoch 35/300 | Loss: 0.6324 | Val Acc: 66.09% | Peak VRAM: 3893.78 MB
Epoch 36/300 | Loss: 0.6296 | Val Acc: 65.74% | Peak VRAM: 3893.78 MB
Epoch 37/300 | Loss: 0.6225 | Val Acc: 64.69% | Peak VRAM: 3893.78 MB
Epoch 38/300 | Loss: 0.6089 | Val Acc: 64.37% | Peak VRAM: 3893.78 MB
Epoch 39/300 | Loss: 0.6102 | Val Acc: 66.49% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/300

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 51037 units | VRAM: 4139.3MB -> 4139.3MB
 Group  1 |  254/ 256 |     0.8% | Hessian: 0.190625
 Group  2 |  254/ 256 |     0.8% | Hessian: 0.190625
 Group  3 |  254/ 256 |     0.8% | Hessian: 0.190625
 Group  4 |  512/ 512 |     0.0% | Hessian: 0.040189
 Group  5 |  512/ 512 |     0.0% | Hessian: 0.040189
 Group  6 |  512/ 512 |     0.0% | Hessian: 0.040189
 Group  7 |  512/ 512 |     0.0% | Hessian: 0.040189
