📝 Logging started: resnet152_pdt_20260218_142357.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 40, every 10 epochs.
Epoch 1/300 | Loss: 4.4108 | Val Acc: 6.40% | Peak VRAM: 3895.78 MB
Epoch 2/300 | Loss: 3.7278 | Val Acc: 16.69% | Peak VRAM: 3893.78 MB
Epoch 3/300 | Loss: 3.1711 | Val Acc: 26.63% | Peak VRAM: 3893.78 MB
Epoch 4/300 | Loss: 2.6784 | Val Acc: 35.10% | Peak VRAM: 3893.78 MB
Epoch 5/300 | Loss: 2.2777 | Val Acc: 41.82% | Peak VRAM: 3893.78 MB
Epoch 6/300 | Loss: 1.9728 | Val Acc: 48.40% | Peak VRAM: 3893.78 MB
Epoch 7/300 | Loss: 1.7629 | Val Acc: 49.04% | Peak VRAM: 3893.78 MB
Epoch 8/300 | Loss: 1.6025 | Val Acc: 51.10% | Peak VRAM: 3893.78 MB
Epoch 9/300 | Loss: 1.4744 | Val Acc: 54.00% | Peak VRAM: 3893.78 MB
Epoch 10/300 | Loss: 1.3733 | Val Acc: 56.31% | Peak VRAM: 3893.78 MB
Epoch 11/300 | Loss: 1.2908 | Val Acc: 59.49% | Peak VRAM: 3893.78 MB
Epoch 12/300 | Loss: 1.2118 | Val Acc: 58.17% | Peak VRAM: 3893.78 MB
Epoch 13/300 | Loss: 1.1556 | Val Acc: 58.05% | Peak VRAM: 3893.78 MB
Epoch 14/300 | Loss: 1.1087 | Val Acc: 61.01% | Peak VRAM: 3893.78 MB
Epoch 15/300 | Loss: 1.0496 | Val Acc: 62.23% | Peak VRAM: 3893.78 MB
Epoch 16/300 | Loss: 1.0187 | Val Acc: 61.89% | Peak VRAM: 3893.78 MB
Epoch 17/300 | Loss: 0.9684 | Val Acc: 62.68% | Peak VRAM: 3893.78 MB
Epoch 18/300 | Loss: 0.9306 | Val Acc: 64.28% | Peak VRAM: 3893.78 MB
Epoch 19/300 | Loss: 0.8994 | Val Acc: 62.93% | Peak VRAM: 3893.78 MB
Epoch 20/300 | Loss: 0.8614 | Val Acc: 65.66% | Peak VRAM: 3893.78 MB
Epoch 21/300 | Loss: 0.8348 | Val Acc: 63.78% | Peak VRAM: 3893.78 MB
Epoch 22/300 | Loss: 0.8175 | Val Acc: 64.42% | Peak VRAM: 3893.78 MB
Epoch 23/300 | Loss: 0.7963 | Val Acc: 65.77% | Peak VRAM: 3893.78 MB
Epoch 24/300 | Loss: 0.7653 | Val Acc: 65.18% | Peak VRAM: 3893.78 MB
Epoch 25/300 | Loss: 0.7507 | Val Acc: 66.79% | Peak VRAM: 3893.78 MB
Epoch 26/300 | Loss: 0.7273 | Val Acc: 63.64% | Peak VRAM: 3893.78 MB
Epoch 27/300 | Loss: 0.7151 | Val Acc: 66.15% | Peak VRAM: 3893.78 MB
Epoch 28/300 | Loss: 0.6987 | Val Acc: 63.96% | Peak VRAM: 3893.78 MB
Epoch 29/300 | Loss: 0.6855 | Val Acc: 63.98% | Peak VRAM: 3893.78 MB
Epoch 30/300 | Loss: 0.6759 | Val Acc: 65.85% | Peak VRAM: 3893.78 MB
Epoch 31/300 | Loss: 0.6668 | Val Acc: 66.52% | Peak VRAM: 3893.78 MB
Epoch 32/300 | Loss: 0.6539 | Val Acc: 65.31% | Peak VRAM: 3893.78 MB
Epoch 33/300 | Loss: 0.6513 | Val Acc: 64.67% | Peak VRAM: 3893.78 MB
Epoch 34/300 | Loss: 0.6403 | Val Acc: 65.68% | Peak VRAM: 3893.78 MB
Epoch 35/300 | Loss: 0.6300 | Val Acc: 66.30% | Peak VRAM: 3893.78 MB
Epoch 36/300 | Loss: 0.6193 | Val Acc: 64.61% | Peak VRAM: 3893.78 MB
Epoch 37/300 | Loss: 0.6193 | Val Acc: 64.65% | Peak VRAM: 3893.78 MB
Epoch 38/300 | Loss: 0.6146 | Val Acc: 67.25% | Peak VRAM: 3893.78 MB
Epoch 39/300 | Loss: 0.6134 | Val Acc: 65.69% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/300

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 80580 units | VRAM: 4139.3MB -> 4139.3MB
 Group  1 |  255/ 256 |     0.4% | Hessian: 0.160635
 Group  2 |  255/ 256 |     0.4% | Hessian: 0.160635
 Group  3 |  255/ 256 |     0.4% | Hessian: 0.160635
 Group  4 |  512/ 512 |     0.0% | Hessian: 0.062519
 Group  5 |  512/ 512 |     0.0% | Hessian: 0.062519
 Group  6 |  512/ 512 |     0.0% | Hessian: 0.062519
 Group  7 |  512/ 512 |     0.0% | Hessian: 0.062519
