📝 Logging started: resnet152_pdt_20260219_093420.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 200
>>> Pruning starts at Epoch 40, every 20 epochs.
Epoch 1/200 | Loss: 4.3815 | Val Acc: 7.57% | Peak VRAM: 3895.78 MB
Epoch 2/200 | Loss: 3.6340 | Val Acc: 18.19% | Peak VRAM: 3893.78 MB
Epoch 3/200 | Loss: 3.0791 | Val Acc: 28.13% | Peak VRAM: 3893.78 MB
Epoch 4/200 | Loss: 2.5741 | Val Acc: 36.85% | Peak VRAM: 3893.78 MB
Epoch 5/200 | Loss: 2.1757 | Val Acc: 42.84% | Peak VRAM: 3893.78 MB
Epoch 6/200 | Loss: 1.8958 | Val Acc: 46.88% | Peak VRAM: 3893.78 MB
Epoch 7/200 | Loss: 1.6932 | Val Acc: 49.33% | Peak VRAM: 3893.78 MB
Epoch 8/200 | Loss: 1.5513 | Val Acc: 53.37% | Peak VRAM: 3893.78 MB
Epoch 9/200 | Loss: 1.4366 | Val Acc: 56.19% | Peak VRAM: 3893.78 MB
Epoch 10/200 | Loss: 1.3337 | Val Acc: 53.82% | Peak VRAM: 3893.78 MB
Epoch 11/200 | Loss: 1.2540 | Val Acc: 56.91% | Peak VRAM: 3893.78 MB
Epoch 12/200 | Loss: 1.1944 | Val Acc: 59.11% | Peak VRAM: 3893.78 MB
Epoch 13/200 | Loss: 1.1352 | Val Acc: 60.91% | Peak VRAM: 3893.78 MB
Epoch 14/200 | Loss: 1.0819 | Val Acc: 62.44% | Peak VRAM: 3893.78 MB
Epoch 15/200 | Loss: 1.0370 | Val Acc: 60.72% | Peak VRAM: 3893.78 MB
Epoch 16/200 | Loss: 0.9876 | Val Acc: 62.84% | Peak VRAM: 3893.78 MB
Epoch 17/200 | Loss: 0.9554 | Val Acc: 63.05% | Peak VRAM: 3893.78 MB
Epoch 18/200 | Loss: 0.9119 | Val Acc: 62.63% | Peak VRAM: 3893.78 MB
Epoch 19/200 | Loss: 0.8870 | Val Acc: 63.73% | Peak VRAM: 3893.78 MB
Epoch 20/200 | Loss: 0.8576 | Val Acc: 64.47% | Peak VRAM: 3893.78 MB
Epoch 21/200 | Loss: 0.8285 | Val Acc: 64.27% | Peak VRAM: 3893.78 MB
Epoch 22/200 | Loss: 0.8044 | Val Acc: 65.32% | Peak VRAM: 3893.78 MB
Epoch 23/200 | Loss: 0.7809 | Val Acc: 66.40% | Peak VRAM: 3893.78 MB
Epoch 24/200 | Loss: 0.7585 | Val Acc: 64.64% | Peak VRAM: 3893.78 MB
Epoch 25/200 | Loss: 0.7449 | Val Acc: 65.34% | Peak VRAM: 3893.78 MB
Epoch 26/200 | Loss: 0.7211 | Val Acc: 65.25% | Peak VRAM: 3893.78 MB
Epoch 27/200 | Loss: 0.7142 | Val Acc: 65.64% | Peak VRAM: 3893.78 MB
Epoch 28/200 | Loss: 0.6948 | Val Acc: 65.40% | Peak VRAM: 3893.78 MB
Epoch 29/200 | Loss: 0.6836 | Val Acc: 65.47% | Peak VRAM: 3893.78 MB
Epoch 30/200 | Loss: 0.6750 | Val Acc: 65.99% | Peak VRAM: 3893.78 MB
Epoch 31/200 | Loss: 0.6657 | Val Acc: 65.39% | Peak VRAM: 3893.78 MB
Epoch 32/200 | Loss: 0.6534 | Val Acc: 65.83% | Peak VRAM: 3893.78 MB
Epoch 33/200 | Loss: 0.6530 | Val Acc: 65.81% | Peak VRAM: 3893.78 MB
Epoch 34/200 | Loss: 0.6427 | Val Acc: 63.95% | Peak VRAM: 3893.78 MB
Epoch 35/200 | Loss: 0.6317 | Val Acc: 66.83% | Peak VRAM: 3893.78 MB
Epoch 36/200 | Loss: 0.6239 | Val Acc: 66.70% | Peak VRAM: 3893.78 MB
Epoch 37/200 | Loss: 0.6136 | Val Acc: 66.76% | Peak VRAM: 3893.78 MB
Epoch 38/200 | Loss: 0.6176 | Val Acc: 65.60% | Peak VRAM: 3893.78 MB
Epoch 39/200 | Loss: 0.6064 | Val Acc: 65.77% | Peak VRAM: 3893.78 MB

[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/200

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 138743 units | VRAM: 4139.3MB -> 4139.3MB
 Group  1 |  255/ 256 |     0.4% | Hessian: 0.083256
 Group  2 |  255/ 256 |     0.4% | Hessian: 0.083256
 Group  3 |  255/ 256 |     0.4% | Hessian: 0.083256
 Group  4 |  512/ 512 |     0.0% | Hessian: 0.121082
 Group  5 |  512/ 512 |     0.0% | Hessian: 0.121082
 Group  6 |  512/ 512 |     0.0% | Hessian: 0.121082
 Group  7 |  512/ 512 |     0.0% | Hessian: 0.121082
