📝 Logging started: resnet152_pdt_20260222_215155.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: resnet152 | Dataset: cifar100

[Stage 1] Analyzing Residual Topology for resnet via PyTorch FX...

==================== Final Topology Groups ====================
 Group  1 | Channels:  256 | Layers: layer1.0.conv3 ... (2 layers)
 Group  2 | Channels:  256 | Layers: layer1.0.conv3 ... (3 layers)
 Group  3 | Channels:  256 | Layers: layer1.0.conv3 ... (4 layers)
 Group  4 | Channels:  512 | Layers: layer2.0.conv3 ... (2 layers)
 Group  5 | Channels:  512 | Layers: layer2.0.conv3 ... (3 layers)
 Group  6 | Channels:  512 | Layers: layer2.0.conv3 ... (4 layers)
 Group  7 | Channels:  512 | Layers: layer2.0.conv3 ... (5 layers)
 Group  8 | Channels:  512 | Layers: layer2.0.conv3 ... (6 layers)
 Group  9 | Channels:  512 | Layers: layer2.0.conv3 ... (7 layers)
 Group 10 | Channels:  512 | Layers: layer2.0.conv3 ... (8 layers)
 Group 11 | Channels:  512 | Layers: layer2.0.conv3 ... (9 layers)
 Group 12 | Channels: 1024 | Layers: layer3.0.conv3 ... (2 layers)
 Group 13 | Channels: 1024 | Layers: layer3.0.conv3 ... (3 layers)
 Group 14 | Channels: 1024 | Layers: layer3.0.conv3 ... (4 layers)
 Group 15 | Channels: 1024 | Layers: layer3.0.conv3 ... (5 layers)
 Group 16 | Channels: 1024 | Layers: layer3.0.conv3 ... (6 layers)
 Group 17 | Channels: 1024 | Layers: layer3.0.conv3 ... (7 layers)
 Group 18 | Channels: 1024 | Layers: layer3.0.conv3 ... (8 layers)
 Group 19 | Channels: 1024 | Layers: layer3.0.conv3 ... (9 layers)
 Group 20 | Channels: 1024 | Layers: layer3.0.conv3 ... (10 layers)
 Group 21 | Channels: 1024 | Layers: layer3.0.conv3 ... (11 layers)
 Group 22 | Channels: 1024 | Layers: layer3.0.conv3 ... (12 layers)
 Group 23 | Channels: 1024 | Layers: layer3.0.conv3 ... (13 layers)
 Group 24 | Channels: 1024 | Layers: layer3.0.conv3 ... (14 layers)
 Group 25 | Channels: 1024 | Layers: layer3.0.conv3 ... (15 layers)
 Group 26 | Channels: 1024 | Layers: layer3.0.conv3 ... (16 layers)
 Group 27 | Channels: 1024 | Layers: layer3.0.conv3 ... (17 layers)
 Group 28 | Channels: 1024 | Layers: layer3.0.conv3 ... (18 layers)
 Group 29 | Channels: 1024 | Layers: layer3.0.conv3 ... (19 layers)
 Group 30 | Channels: 1024 | Layers: layer3.0.conv3 ... (20 layers)
 Group 31 | Channels: 1024 | Layers: layer3.0.conv3 ... (21 layers)
 Group 32 | Channels: 1024 | Layers: layer3.0.conv3 ... (22 layers)
 Group 33 | Channels: 1024 | Layers: layer3.0.conv3 ... (23 layers)
 Group 34 | Channels: 1024 | Layers: layer3.0.conv3 ... (24 layers)
 Group 35 | Channels: 1024 | Layers: layer3.0.conv3 ... (25 layers)
 Group 36 | Channels: 1024 | Layers: layer3.0.conv3 ... (26 layers)
 Group 37 | Channels: 1024 | Layers: layer3.0.conv3 ... (27 layers)
 Group 38 | Channels: 1024 | Layers: layer3.0.conv3 ... (28 layers)
 Group 39 | Channels: 1024 | Layers: layer3.0.conv3 ... (29 layers)
 Group 40 | Channels: 1024 | Layers: layer3.0.conv3 ... (30 layers)
 Group 41 | Channels: 1024 | Layers: layer3.0.conv3 ... (31 layers)
 Group 42 | Channels: 1024 | Layers: layer3.0.conv3 ... (32 layers)
 Group 43 | Channels: 1024 | Layers: layer3.0.conv3 ... (33 layers)
 Group 44 | Channels: 1024 | Layers: layer3.0.conv3 ... (34 layers)
 Group 45 | Channels: 1024 | Layers: layer3.0.conv3 ... (35 layers)
 Group 46 | Channels: 1024 | Layers: layer3.0.conv3 ... (36 layers)
 Group 47 | Channels: 1024 | Layers: layer3.0.conv3 ... (37 layers)
 Group 48 | Channels: 2048 | Layers: layer4.0.conv3 ... (2 layers)
 Group 49 | Channels: 2048 | Layers: layer4.0.conv3 ... (3 layers)
 Group 50 | Channels: 2048 | Layers: layer4.0.conv3 ... (4 layers)
===============================================================
[*] Total 50 groups identified.


[Pruner Init] Identified 50 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 200
>>> Pruning starts at Epoch 40, every 20 epochs.
Epoch 1/200 | Loss: 4.3911 | Val Acc: 8.70% | Peak VRAM: 3895.78 MB
Epoch 2/200 | Loss: 3.6461 | Val Acc: 17.91% | Peak VRAM: 3893.78 MB
Epoch 3/200 | Loss: 3.0708 | Val Acc: 28.30% | Peak VRAM: 3893.78 MB
Epoch 4/200 | Loss: 2.5243 | Val Acc: 37.01% | Peak VRAM: 3893.78 MB
Epoch 5/200 | Loss: 2.1358 | Val Acc: 44.82% | Peak VRAM: 3893.78 MB
Epoch 6/200 | Loss: 1.8727 | Val Acc: 47.44% | Peak VRAM: 3893.78 MB
Epoch 7/200 | Loss: 1.6848 | Val Acc: 49.99% | Peak VRAM: 3893.78 MB
Epoch 8/200 | Loss: 1.5338 | Val Acc: 53.39% | Peak VRAM: 3893.78 MB
Epoch 9/200 | Loss: 1.4136 | Val Acc: 54.86% | Peak VRAM: 3893.78 MB
Epoch 10/200 | Loss: 1.3267 | Val Acc: 56.96% | Peak VRAM: 3893.78 MB
Epoch 11/200 | Loss: 1.2544 | Val Acc: 57.13% | Peak VRAM: 3893.78 MB
Epoch 12/200 | Loss: 1.1837 | Val Acc: 58.58% | Peak VRAM: 3893.78 MB
Epoch 13/200 | Loss: 1.1187 | Val Acc: 60.25% | Peak VRAM: 3893.78 MB
Epoch 14/200 | Loss: 1.0578 | Val Acc: 60.62% | Peak VRAM: 3893.78 MB
Epoch 15/200 | Loss: 1.0237 | Val Acc: 62.50% | Peak VRAM: 3893.78 MB
Epoch 16/200 | Loss: 0.9773 | Val Acc: 63.30% | Peak VRAM: 3893.78 MB
Epoch 17/200 | Loss: 0.9490 | Val Acc: 63.06% | Peak VRAM: 3893.78 MB
Epoch 18/200 | Loss: 0.9127 | Val Acc: 63.09% | Peak VRAM: 3893.78 MB
Epoch 19/200 | Loss: 0.8831 | Val Acc: 64.37% | Peak VRAM: 3893.78 MB
Epoch 20/200 | Loss: 0.8470 | Val Acc: 65.62% | Peak VRAM: 3893.78 MB
Epoch 21/200 | Loss: 0.8306 | Val Acc: 64.44% | Peak VRAM: 3893.78 MB
Epoch 22/200 | Loss: 0.7973 | Val Acc: 64.00% | Peak VRAM: 3893.78 MB
Epoch 23/200 | Loss: 0.7767 | Val Acc: 65.96% | Peak VRAM: 3893.78 MB
Epoch 24/200 | Loss: 0.7620 | Val Acc: 63.55% | Peak VRAM: 3893.78 MB
Epoch 25/200 | Loss: 0.7357 | Val Acc: 63.99% | Peak VRAM: 3893.78 MB
Epoch 26/200 | Loss: 0.7225 | Val Acc: 65.88% | Peak VRAM: 3893.78 MB
Epoch 27/200 | Loss: 0.7018 | Val Acc: 65.51% | Peak VRAM: 3893.78 MB
Epoch 28/200 | Loss: 0.6931 | Val Acc: 63.58% | Peak VRAM: 3893.78 MB
Epoch 29/200 | Loss: 0.6862 | Val Acc: 65.13% | Peak VRAM: 3893.78 MB
Epoch 30/200 | Loss: 0.6701 | Val Acc: 64.34% | Peak VRAM: 3893.78 MB
Epoch 31/200 | Loss: 0.6668 | Val Acc: 65.19% | Peak VRAM: 3893.78 MB
Epoch 32/200 | Loss: 0.6525 | Val Acc: 64.91% | Peak VRAM: 3893.78 MB
Epoch 33/200 | Loss: 0.6507 | Val Acc: 64.63% | Peak VRAM: 3893.78 MB
Epoch 34/200 | Loss: 0.6425 | Val Acc: 65.52% | Peak VRAM: 3893.78 MB
Epoch 35/200 | Loss: 0.6348 | Val Acc: 65.70% | Peak VRAM: 3893.78 MB
Epoch 36/200 | Loss: 0.6275 | Val Acc: 66.11% | Peak VRAM: 3893.78 MB
Epoch 37/200 | Loss: 0.6248 | Val Acc: 65.91% | Peak VRAM: 3893.78 MB
Epoch 38/200 | Loss: 0.6122 | Val Acc: 66.23% | Peak VRAM: 3893.78 MB
Epoch 39/200 | Loss: 0.6096 | Val Acc: 66.87% | Peak VRAM: 3893.78 MB

[System] Saving Baseline Dense Model before pruning starts...
📊 Dense Baseline - Acc: 67.13%, Size: 221.98 MB
💾 Saved Baseline: resnet152_DENSE_BASELINE.pth


[DEBUG] >>> PRUNING @ Epoch 40

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 40/200

============================== PDT Pruning Report: Epoch 40 ==============================
 [*] Pruned this step: 138559 units | VRAM: 4139.8MB -> 4139.8MB
 Group  1 |  255/ 256 |     0.4% | Hessian: 0.147681
 Group  2 |  255/ 256 |     0.4% | Hessian: 0.147681
 Group  3 |  255/ 256 |     0.4% | Hessian: 0.147681
 Group  4 |  512/ 512 |     0.0% | Hessian: 0.099502
